id,label,uri,type,type_generic,predicate_type
156,28370 - cheese; nokkelost (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542837,food,food,
157,cream (sterilized),http://purl.obolibrary.org/obo/FOODON_03305284,food,food,
158,13190 - radhuni seed (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03541319,food,food,
159,pickled vegetable relish (canned),http://purl.obolibrary.org/obo/FOODON_03301400,food,food,
160,scuppernong grape juice (food product),http://purl.obolibrary.org/obo/FOODON_03307197,food,food,
161,cheddar cheese (for processing),http://purl.obolibrary.org/obo/FOODON_03315822,food,food,
162,deer meat (smoked),http://purl.obolibrary.org/obo/FOODON_03310429,food,food,
163,arbol pepper plant,http://purl.obolibrary.org/obo/FOODON_03412551,food,food,
164,weaning food,http://purl.obolibrary.org/obo/FOODON_03315466,food,food,
165,orange-flavored drink,http://purl.obolibrary.org/obo/FOODON_03301669,food,food,
166,21460 - fresh spiced sausages in casing (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542146,food,food,
167,collard plant,http://purl.obolibrary.org/obo/FOODON_03411385,food,food,
168,black-bellied angler,http://purl.obolibrary.org/obo/FOODON_03414074,food,food,
169,43480 - pimento flavour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03544348,food,food,
170,sea kale plant,http://purl.obolibrary.org/obo/FOODON_03412011,food,food,
171,yellowstreaked snapper (raw),http://purl.obolibrary.org/obo/FOODON_03308997,food,food,
172,lemon peel infusion (dried),http://purl.obolibrary.org/obo/FOODON_03306082,food,food,
173,fruit pie filling,http://purl.obolibrary.org/obo/FOODON_03306763,food,food,
174,food (fresh),http://purl.obolibrary.org/obo/FOODON_00002457,food,food,
175,37520 - infant formula; soya-based; powder (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543752,food,food,
176,26240 - cod; dried (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542624,food,food,
177,tallow tree (detarium) plant,http://purl.obolibrary.org/obo/FOODON_03412772,food,food,
178,ham (deviled),http://purl.obolibrary.org/obo/FOODON_03310578,food,food,
179,sleeper shark family,http://purl.obolibrary.org/obo/FOODON_03414106,food,food,
180,filling mix; dry,http://purl.obolibrary.org/obo/FOODON_03315569,food,food,
181,doughnut (sugar),http://purl.obolibrary.org/obo/FOODON_03306628,food,food,
182,kippered salmon,http://purl.obolibrary.org/obo/FOODON_03308925,food,food,
183,roast beef bottom round (cooked),http://purl.obolibrary.org/obo/FOODON_03311514,food,food,
184,white skin,http://purl.obolibrary.org/obo/FOODON_03530283,food,food,
185,ginseng extract with added ginseng root,http://purl.obolibrary.org/obo/FOODON_03305190,food,food,
186,dl-alpha-tocopheryl acetate,http://purl.obolibrary.org/obo/FOODON_03413786,food,food,
187,ham (smoked),http://purl.obolibrary.org/obo/FOODON_03302180,food,food,
188,29260 - cheese; pont l'eveque (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542926,food,food,
189,dietary supplement; electrolyte,http://purl.obolibrary.org/obo/FOODON_03401327,food,food,
